Year,EMPLOYER_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,PHONE,FAX,CREATED_DATE,ACTIVE
2014,10366,"KeyBanc Capital Markets, Inc","127 Public Square, 4th Flr",,Cleveland,OH,44114,United States,216-689-3420,216-689-4672,01/20/2014,Y
2014,10502,"Burke, Warren, MacKay & Serritella, P.C.",330 N. Wabash Ave.,21st Floor,Chicago,IL,6061,United States,312-840-7039,312-840-7900,01/31/2014,Y
2014,10701,CTIA- The Wireless Association,1400 16th St. NW,,Washignton,DC,20036,United States,202-736-3200,202-785-0721,03/11/2014,Y
2013,8861,"J.J.B. Hilliard, W.L. Lyons LLC",211 W Wacker Dr.,Ste. 1800,Chicago,IL,60606,United States,312-346-3570,312-332-9915,07/17/2013,Y
2015,8381,"Alexander & Borovicka Government Solutions, LLC",230 W. Monroe St.,Suite 2221,Chicago,IL,60606,United States,312-759-7505,,05/01/2013,Y
2013,9581,"National Association of Tobacco Outlets, Inc.",15560 Boulder Pointe Road,,Minneapolis,MN,55347,United States,952-974-0075,,11/05/2013,Y
2015,9641,TLC Management Company,100 North Lasalle Street,Suite 1200,Chicago,IL,60602,United States,(312) 553-9070,,11/07/2013,Y
2015,10144,Chicagoland Chamber of Commerce,410 N Michigan Ave,Ste 900,Chicago,IL,60611,United States,3124946700,,01/13/2014,Y
2015,10661,Gonzalez Saggio & Harlan LLP,180 N. Stetson Ave,Ste. 4425,Chicago,IL,60601,United States,312-236-0475,312-236-1750,03/07/2014,Y
2014,10661,Gonzalez Saggio & Harlan LLP,180 N. Stetson Ave,Ste. 4425,Chicago,IL,60601,United States,312-236-0475,312-236-1750,03/07/2014,Y
2013,7823,James Connolly,1401 N Farnsworth Ave,,Aurora,IL,60505,United States,630-978-5151,630-978-2469,02/05/2013,Y
2013,7841,Hospitality Business Association of Chicago,1101 W Fulton Market STE 3,,Chicago,IL,60607,United States,312-494-5880,312-264-0782,02/11/2013,Y
2013,7928,Titan Outdoor LLC,444 North Wells,,Chicago,IL,60654,United States,312-596-7507,,02/27/2013,Y
2014,9321,Kutak Rock LLP,One S. Wacker Drive,Suite 2050,Chicago,IL,60606,United States,(312) 602-4100,,09/12/2013,Y
2013,9321,Kutak Rock LLP,One S. Wacker Drive,Suite 2050,Chicago,IL,60606,United States,(312) 602-4100,,09/12/2013,Y
2014,10361,"KeyBanc Capital Markets, Inc.","127 Public Square, 4th Flr",,Cleveland,OH,44114,United States,216-689-3420,216-689-4672,01/20/2014,Y
2014,10521,Sugar Felsenthal Grais & Hammer LLP,30 N LaSalle St.,Ste. 3000,Chicago,IL,60602,United States,312-704-9400,312-372-7951,02/04/2014,Y
2015,11441,Marathon Petroleum Company LP (subsidiaries & affiliates),539 S. Main Street,,Findlay,OH,45840,United States,(419) 421-3757,,07/25/2014,Y
2014,11701,Revenew International LLC,9 Greenway Plaza,Ste. 1950,Houston,TX,77046,United States,281-276-4500,281-201-4389,10/17/2014,Y
2013,7761,AT&T Illinois,225 W. Randolph St.,Ste 27C,Chicago,IL,60606,United States,312-727-2621,312-420-8898,01/30/2013,Y
2014,10423,"Raymond James & Associate, Inc.","3050 Peachtree Road, NW",Ste. 702,Atlanta,GA,30305,United States,404.279.5724,,01/24/2014,Y
2014,10781,"Lealtad Group, LLC",2520 S. Oakley,,Chicago,IL,60608,United States,7737420698,,03/17/2014,Y
2015,12045,Anderson & Moore PC,111 W Washington,Suite 1720,Chicago,IL,60602,United States,312-251-1500,312-251-1509,01/02/2015,Y
2015,12059,Illinois Association of REALTORS,PO BOX 19451,,Springfield,IL,62794,United States,312-214-5517,,01/07/2015,Y
2013,7728,J.P. Morgan Chase,10 S. Dearborn,,Chicago,IL,60642,United States,312-732-5856,312-732-6020,01/29/2013,Y
2013,9501,First Southwest Company,525 Vine St.,Ste 2325,Cincinnati,OH,45202,United States,513-835-6658,513-381-8444,10/09/2013,Y
2014,11421,NRG Energy Inc.,529 E. 135th Street,Will County Station,Romeoville,IL,60446,United States,312 343 1794,,07/23/2014,Y
2014,11602,Public Engines,11814 South Election Road,Suite 100,Draper,UT,84020,United States,770-713-0248,,09/16/2014,Y
2014,10043,"Steve's Equipment Service, Inc.",1400 Powis Rd.,,West Chicago,IL,60185,United States,630-231-4840,630-231-4945,01/08/2014,Y
2015,10046,"Wal-Mart Stores, Inc.",702 SW 8th St.,,Bentonville,AR,72716,United States,479-204-8618,,01/08/2014,Y
2014,11242,KPMG LLP,515 Broadway,4th Floor,Albany,NY,12207,United States,(518) 427-4600,,06/03/2014,Y
,12070,SEIU Health Care IL/IN,2229 S Halsted St,,Chicago,IL,60608,United States,312-980-9000,312-784-3187,01/14/2015,Y
2013,7902,"Johnston Greene, LLC",542 S. Dearborn,Suite 1100,Chicago,IL,60605,United States,312-341-3900,,02/20/2013,Y
,8462,"Praeses, LLC",330 Marshall Street,Suite 800,Schreveport,LA,71101,United States,(318) 424-8125,,05/08/2013,Y
2015,8506,"Merrill Lynch, Pierce, Fenner & Smith Inc.",100 N Tryon Street,NC1-007-22-32,Charlotte,NC,28255,United States,980-386-3245,704-602-3712,05/14/2013,Y
2013,8561,English Inc,444 N LaSalle,,Chicago,IL,60654,United States,312-222-6200,,06/07/2013,Y
2013,8664,Donald Robinson,208 S LaSalle,Ste. 1750,Chicago,IL,60604,United States,312-985-9387,,06/19/2013,Y
2013,9141,U.S. Cost Inc.,1200 Abernathy Rd NE,Ste. 950,Atlanta,GA,30328,United States,770-481-1600,770-481-1640,08/15/2013,Y
,9221,"NICE Systems, Inc.",461 From Road,,Paramus,NJ,07652,United States,201-964-2600,,08/28/2013,Y
2014,9901,"KnowHow-Now, Inc",1455 Calais Circle,,Highland Park,IL,60035,United States,630-841-4163,,01/01/2014,Y
2015,10145,Frank Olivo,12033 S. 72nd Court,,Palos Heights,IL,60463,United States,312-406-6060,,01/13/2014,Y
2014,10162,"The Colwell Group, LLC",574 Belle Meade Farm Drive,,Loveland,OH,45140,United States,513-683-9594,,01/13/2014,Y
,10403,Cummins NPower LLC,7145 Santa Fe Drive,,Hodgkins,IL,60525,United States,708-579-9222,708-482-6455,01/22/2014,Y
2015,12065,"KnowHow-Now, Inc.",300 North LaSalle Street,Suite 4925,Chicago,IL,60654,United States,630-841-4163,,01/12/2015,Y
2015,12078,Jewel Osco,150 Pierce Rd,Ste 200,Itasca,IL,60143,United States,630-948-6076,630-948-6664,01/15/2015,Y
2015,12079,Unisys Corporation,One Tower Lane,Suite 370,Oakbrook,IL,60181-4649,United States,630-554-7025,,01/15/2015,Y
2015,12261,"The Gordian Group, Inc.","30 Patewood Drive, Bldg 2, Suite 350",,Greenville,SC,29615,United States,800-874-2291,,03/12/2015,Y
2015,12361,"CrowZnest Consulting, Inc",3015 W Jarvis,,Chicago,IL,60645,United States,773-655-3738,,04/09/2015,Y
2015,12202,"iHeartMedia, Inc., Clear Channel Outdoor, and Affiliated Entities",4000 South Morgan Street,,Chicago,IL,60609,United States,773-843-2001,,02/23/2015,Y
2015,12561,Gayles and Associates LLC,1507 East 53rd St,Ste 222,Chicago,IL,60615,United States,312-285-8982,,05/19/2015,Y
2015,12381,Aronberg Goldgehn Davis & Garmisa,330 N. Wabash,Suite 1700,Chicago,IL,60611,United States,312 828-9600,,04/14/2015,Y
2015,12641,"Uber Technologies, Inc",111 North Canal Street,,Chicago,IL,60606,United States,8476509758,,05/21/2015,Y
2015,12501,"Strategic Government Solutions, Inc.",950 Hawthorne Lane,,Northbrook,IL,60062,United States,312-498-6060,,05/08/2015,Y
2013,4521,"Daspin & Aument, LLP","227 W. Monroe St., #3500",,Chicago,IL,60606,United States,312-258-1600,312-258-1955,,Y
2011,4521,"Daspin & Aument, LLP","227 W. Monroe St., #3500",,Chicago,IL,60606,United States,312-258-1600,312-258-1955,,Y
2012,5741,Constellation,111 Market Place,,Baltimore,MD,21202,United States,610-765-6920,,08/17/2012,Y
2012,4109,"Illinois Governmental Consulting Group, LLC",500 N. dearborn #1030,,Chicago,IL,60610,United States,312-755-9000,312-755-9022,,Y
2011,4377,Jay D. Doherty & Associates,"210 E. Pearson St., #9B",,Chicago,IL,60611,United States,312-932-0338,312-654-0671,,Y
2011,4614,Shefsky & Froelich Ltd.,"111 E. Wacker Drive, Suite 2800",,Chicago,IL,60601,United States,312-836-4024,312-527-1794,,Y
2014,5067,Thermal Chicago Corp,200 W Jackson Blvd,Ste 1310,Chicago,IL,60606,United States,312-447-1600,312-447-0316,05/25/2012,Y
2012,5441,Xsell Technologies Inc,231 South LaSalle Street,5th Floor,Chicago,IL,60604,United States,3128069984,,07/02/2012,Y
2014,7001,Daley and Georges Ltd,20 South Clark Street,Suite 400,Chicago,IL,60603,United States,312-726-8797,312-726-8819,01/07/2013,Y
2013,6702,Chrysler Group LLC,1000 Chrysler Dr.,CIMS: 485-13-35,Auburn Hills,MI,48326-2766,United States,2485122815,248-512-3919,11/29/2012,Y
2015,7022,Skyway Concession Company LLC,205 N. Michigan Avenue,Suite 2510,Chicago,IL,60601,United States,312-552-7100,,01/08/2013,Y
2013,7532,"John C. Corrigan & Associates, LLC",20 S. Clark St.,Suite 2900,Chicago,IL,60603,United States,312-235-2800,312-268-1111,01/18/2013,Y
2012,5083,Belmont-Central Chamber of Commerce,5534 W. Belmont Ave.,,Chicago,IL,60645,United States,773-647-1644,773-647-1645,05/29/2012,Y
,5085,maritza Salgado,2508 n laramie,1,chicago,IL,60639,United States,3312221431,,05/31/2012,Y
2013,5501,"Sensys Networks, Inc.",1608 4th Street Suite 200,,Berkeley,CA,94710,United States,510-548-4620,510-549-9931,07/10/2012,Y
2012,6081,eGov Strategies LLC,233 S McCrea St,Suite 600,Indianapolis,IN,46225,United States,317-634-3468,,09/20/2012,Y
2012,5102,Target Corp.,1000 Nicollet Mall,,Minneapolis,MN,55403,United States,612-761-5384,612-761-3727,06/06/2012,Y
2015,5141,Riley Public Affairs,625 Carpenter Ave,,Oak Park,IL,60304,United States,773-551-4335,773-289-0887,06/13/2012,Y
2012,5161,Ghafari Associates LLC,360 N Michigan Ave,Ste. 1800,Chicago,IL,60601,United States,312-984-2300,312-984-8248,06/13/2012,Y
2011,5161,Ghafari Associates LLC,360 N Michigan Ave,Ste. 1800,Chicago,IL,60601,United States,312-984-2300,312-984-8248,06/13/2012,Y
,6841,"ClipperCreek, Inc",11850 Kemper Road,Suite #,Auburn,MI,95603,United States,2484084162,,12/29/2012,Y
2012,6861,MacRostie Historic Advisors LLC,1400 16th St. NW,Ste 420,Washington,DC,20036,United States,202-483-2020,202-483-2080,01/02/2013,Y
2014,6944,Jay D. Doherty & Associates,210 E. Pearson Street,#9B,Chicago,IL,60611,United States,312-932-0338,312-654-0671,01/04/2013,Y
2013,6944,Jay D. Doherty & Associates,210 E. Pearson Street,#9B,Chicago,IL,60611,United States,312-932-0338,312-654-0671,01/04/2013,Y
2013,7261,Local 881 United Food and Commercial Workers,10400 West Higgins Rd.,,Rosemont,IL,60018,United States,8472945064,,01/14/2013,Y
2013,5121,Traffic Control Corporation,10435 Argonne Woods Drive,,Woodridge,IL,60517,United States,630-543-1300,630-543-5050,06/12/2012,Y
2013,7344,"Mesirow Financial, Inc.",353 N. Clark Street,,Chicago,IL,60654,United States,312-595-6242,312-595-6988,01/15/2013,Y
2013,7345,"Mesirow Financial, Inc.",353 N. Clark Street,,Chicago,IL,60654,United States,312-595-6242,312-595-6988,01/15/2013,Y
2013,7348,George K. Baum & Co.,"1 N. LaSalle St., Ste 1725",,Chicago,IL,60602,United States,312-641-3611,312-641-3625,01/15/2013,Y
2013,7421,Unisys Corp.,"1 E. Wacker Dr., Ste. 2350",,Chicago,IL,60601,United States,312-6443463,3126446493,01/16/2013,Y
2012,5042,Cornerstone Government Affairs,111 W Washington,Ste. 1100,Chicago,IL,60602,United States,312-281-0994,312-281-0997,05/16/2012,Y
2012,5821,Shefsky & Froelich Ltd.,111 E. Wacker Drive,Suite 2800,Chicago,IL,60601,United States,312-527-4000,312-527-4011,08/28/2012,Y
,6002,Metaphrasis Language and Cultural Solutions,1147 West Ohio Street,Suite 306,Chicago,IL,60642,United States,815 464 1423,815 464 1747,09/11/2012,Y
2013,6381,DAN SHOMON INC.,33 W. Monroe,Suite 1050,Chicago,IL,60633,United States,3127627490,312.276.8950,10/18/2012,Y
2012,6524,Blake Custer,30108 Fairway Vista Drive,,Fair Oaks Ranch,TX,78015,United States,210-488-7774,,10/25/2012,Y
2013,7103,Peter Silvestri,7715 W. Armitage Ave,,Elmwood Park,IL,60707,United States,708-456-2424,708-456-2464,01/09/2013,Y
2013,7241,"NTT DATA, Inc.",1660 International Drive,Suite 300,McLean,VA,22102,United States,+1 (703) 848-7200,+1 (703) 848-7201,01/14/2013,Y
2012,5001,Quarles & Brady LLP,300 N. LaSalle,Ste. 4000,Chicago,IL,60654,United States,312-715-5073,312-715-5155,05/03/2012,Y
2015,5122,Building Owners and Managers Association of Chicago (BOMA/Chicago),115 S LaSalle,Ste. 2300,Chicago,IL,60603,United States,312-870-9611,312-870-9601,06/12/2012,Y
2015,5361,Google Inc.,1600 Amphitheatre Parkway,,Mountain View,CA,94043,United States,(415) 389-6800,(415) 388-6874,06/27/2012,Y
2014,5361,Google Inc.,1600 Amphitheatre Parkway,,Mountain View,CA,94043,United States,(415) 389-6800,(415) 388-6874,06/27/2012,Y
2014,5721,Xerox Corporation,"1800 M Street, NW","North Tower, Suite 700",Washington,DC,20036,United States,202.776.1005,202.378.2610,08/10/2012,Y
2012,6001,Lyon Communications LLC,3759 N Ravenswood,#129,Chicago,IL,60613,United States,773-529-1212,773-529-1222,09/11/2012,Y
2014,6721,Carpenter Lipps & Leland LLP,180 N. LaSalle Street,Suite 2640,Chicago,IL,60601,United States,3127772824,,12/03/2012,Y
,6742,Maggie Marystone,3712 N. Broadway,Suite #410,Chicago,IL,60613,United States,773.837.6670,,12/11/2012,Y
,6985,Audrey Selin,"2 N. LaSalle St., Ste. 1700",,Chicago,IL,60602,United States,312-269-5250,312-429-3530,01/07/2013,Y
2015,7021,Michael Alvarez,351 W Hubbard,Ste. 405,Chicago,IL,60654,United States,847-791-4105,,01/08/2013,Y
2014,7021,Michael Alvarez,351 W Hubbard,Ste. 405,Chicago,IL,60654,United States,847-791-4105,,01/08/2013,Y
2013,7343,"Mesirow Financial, Inc.",353 N. Clark Street,,Chicago,IL,60654,United States,312-595-6467,312-595-6988,01/15/2013,Y
,7981,"Napier Park Global Capital, LLC","399 Park Avenue, 7th Floor",,New York,NY,10022,United States,212-559-0223,,03/11/2013,Y
2015,10421,Arnold Scott Harris PC,111 W Jackson,Ste. 600,Chicago,IL,60604,United States,312-423-7420,312-423-7563,01/24/2014,Y
2014,10421,Arnold Scott Harris PC,111 W Jackson,Ste. 600,Chicago,IL,60604,United States,312-423-7420,312-423-7563,01/24/2014,Y
2014,11581,Barnes & Thornburg LLP,1 N Wacker Drive,Suite 4400,Chicago,IL,60606,United States,312-338-5936,,09/12/2014,Y
2015,11721,PLS Financial Services Inc,1 South Wacker Dr.,36th Flr,Chicago,IL,60606,United States,312-300-6343,,10/20/2014,Y
2013,8361,Motorola Mobility LLC,600 N U.S. Hwy 45,,Libertyville,IL,60048,United States,847-523-5000,847-523-4121,04/30/2013,Y
,8741,Daley and Georges Ltd,20 S. Clark St,Suite 400,Chicago,IL,60603,United States,312-726-8797,312-726-8819,07/08/2013,Y
2013,9462,Motorola Mobility LLC,600 N U.S. Hwy 45,,Libertyville,IL,60048,United States,415-389-6800,415-388-6874,10/02/2013,Y
,10062,JPMorgan Chase Bank and Company,10 S. Dearborn,Suite IL1-0013,Chicago,IL,60603,United States,312 325 5057,312 732 6020,01/09/2014,Y
2015,10188,Paul Williams,9009 South Western Ave,,Chicago,IL,60643,United States,773-298-5050,773-298-0079,01/14/2014,Y
2013,8421,KPMG LLP,200 E. Randolph Dr,Ste. 5000,Chicago,IL,60601,United States,312-665-1000,312-665-6000,05/06/2013,Y
2013,9181,"Best Buy Co., Inc.",7601 Penn Avenue South,,Richfield,MN,55423,United States,612-291-3032,,08/26/2013,Y
2014,9621,Joseph Pilewski,53 West Jackson Blvd,Ste 662,Chicago,IL,60604,United States,312-953-6070,312-962-1979,11/07/2013,Y
2014,9961,William Gainer,10250 S. Bell,,Chicago,IL,60643,United States,312-320-7222,773-239-3390,01/03/2014,Y
2014,10004,"Motorola Mobility, LLC",600 N U.S. Hwy 45,,Libertyville,IL,60048,United States,415-389-6800,415-388-6874,01/07/2014,Y
2014,10186,Unisys Corporation,1 East Wacker Drive,Suite 2350,Chicago,IL,60601,United States,312-644-3463,312-644-6493,01/14/2014,Y
2015,10222,Lighten-Gale LLC d/b/a Lighten-Gale Group,"39 S LaSalle St, Ste. 808",,Chicago,IL,60603,United States,312-920-1500,312-533-2828,01/16/2014,Y
2015,10384,"CCS International, Inc",1815 S Meyers Rd,Ste. 200,Oakbrook Terrace,IL,60181,United States,630-678-0808,630-678-0858,01/21/2014,Y
2014,10387,Michael Abramson,300 W. Adams Street,Suite 409,Chicago,IL,60606,United States,312-876-7155,312-876-6255,01/21/2014,Y
2013,7806,Taxi Affiliation Services,3351 West Addison,,Chicago,IL,60618,United States,3128813117,,02/01/2013,Y
2013,7824,Astronics DME Corporation,6830 NW 16th Terrace,310,Ft. Lauderdale,FL,33309,United States,9549752250,954-979-3313,02/05/2013,Y
2014,8761,"Strategic Government Solutions, Inc.",2341 Catherine St.,,Northbrook,IL,60062,United States,312-498-6060,,07/09/2013,Y
