"","ALDERMAN","LOBBYIST_NAME","cont_to_aldermen","CLIENT_NAME","total_comp","pathString"
"20","AMEYA PAWAR","PATRICK CAREY",500,"THE GORDIAN GROUP INC",25000,"AMEYA PAWAR/PATRICK CAREY/THE GORDIAN GROUP INC"
"21","AMEYA PAWAR","PATRICK CAREY",500,"WISCONSIN ENERGY CORPORATION",273000,"AMEYA PAWAR/PATRICK CAREY/WISCONSIN ENERGY CORPORATION"
"22","ANTHONY BEALE","DJAVAN CONWAY",150,"CHICAGO TEACHERS UNION",54000,"ANTHONY BEALE/DJAVAN CONWAY/CHICAGO TEACHERS UNION"
"23","ANTHONY BEALE","DJAVAN CONWAY",150,"ILLINOIS RETAIL SWEEPSTAKES AND PROMOTIONASOCIATION",6000,"ANTHONY BEALE/DJAVAN CONWAY/ILLINOIS RETAIL SWEEPSTAKES AND PROMOTIONASOCIATION"
"24","ANTHONY BEALE","DJAVAN CONWAY",150,"UBER TECHNOLOGIES INC",72000,"ANTHONY BEALE/DJAVAN CONWAY/UBER TECHNOLOGIES INC"
"25","ANTHONY BEALE","JAMES WATSON",300,"AMERICAN PETROLEUM INSTITUTE",50000,"ANTHONY BEALE/JAMES WATSON/AMERICAN PETROLEUM INSTITUTE"
"26","ANTHONY BEALE","JOHN DOERRER",1250,"AMERICAN PETROLIUM INSTITUTE",63000,"ANTHONY BEALE/JOHN DOERRER/AMERICAN PETROLIUM INSTITUTE"
"27","ANTHONY BEALE","JOHN DOERRER",1250,"CHICAGO RETAIL MERCHANTS ASSOC.",42000,"ANTHONY BEALE/JOHN DOERRER/CHICAGO RETAIL MERCHANTS ASSOC."
"28","ANTHONY BEALE","JOHN DOERRER",1250,"DISTILLED SPIRITS COUNCIL OF UNITED STATES",42000,"ANTHONY BEALE/JOHN DOERRER/DISTILLED SPIRITS COUNCIL OF UNITED STATES"
"29","ANTHONY BEALE","JOHN DOERRER",1250,"GILBANE BUILDING CO.",10000,"ANTHONY BEALE/JOHN DOERRER/GILBANE BUILDING CO."
"30","ANTHONY BEALE","JOHN DOERRER",1250,"HEXAGON SI",84000,"ANTHONY BEALE/JOHN DOERRER/HEXAGON SI"
"31","ANTHONY BEALE","JOHN DOERRER",1250,"LIMEBIKE",18000,"ANTHONY BEALE/JOHN DOERRER/LIMEBIKE"
"32","ANTHONY BEALE","JOHN DOERRER",1250,"MCDONALD'S CORPORATION",7500,"ANTHONY BEALE/JOHN DOERRER/MCDONALD'S CORPORATION"
"33","ANTHONY BEALE","JOHN DOERRER",1250,"SHORELINE SIGHTSEEING",31500,"ANTHONY BEALE/JOHN DOERRER/SHORELINE SIGHTSEEING"
"34","ANTHONY BEALE","JOHN DOERRER",1250,"UNITED AIRLINES",20000,"ANTHONY BEALE/JOHN DOERRER/UNITED AIRLINES"
"35","ANTHONY BEALE","JOHN DOERRER",1250,"VIA TRANSPORTATION INC",84000,"ANTHONY BEALE/JOHN DOERRER/VIA TRANSPORTATION INC"
"36","ANTHONY BEALE","JOHN DUNN",1000,"APPLE INC",198000,"ANTHONY BEALE/JOHN DUNN/APPLE INC"
"37","ANTHONY BEALE","JOHN DUNN",1000,"ASIAN HUMAN SERVICES",10000,"ANTHONY BEALE/JOHN DUNN/ASIAN HUMAN SERVICES"
"38","ANTHONY BEALE","JOHN DUNN",1000,"CHINESE AMERICAN SERVICE LEAGUE",6000,"ANTHONY BEALE/JOHN DUNN/CHINESE AMERICAN SERVICE LEAGUE"
"39","ANTHONY BEALE","JOHN DUNN",1000,"DELTA AIR LINES",231000,"ANTHONY BEALE/JOHN DUNN/DELTA AIR LINES"
"40","ANTHONY BEALE","JOHN DUNN",1000,"DIAGEO NA",110000,"ANTHONY BEALE/JOHN DUNN/DIAGEO NA"
"41","ANTHONY BEALE","JOHN DUNN",1000,"GRAFFITI RESOURCE COUNCIL",15000,"ANTHONY BEALE/JOHN DUNN/GRAFFITI RESOURCE COUNCIL"
"42","ANTHONY BEALE","JOHN DUNN",1000,"HERTZ GLOBAL",247500,"ANTHONY BEALE/JOHN DUNN/HERTZ GLOBAL"
"43","ANTHONY BEALE","JOHN DUNN",1000,"HORIZON PHARMA USA INC",247500,"ANTHONY BEALE/JOHN DUNN/HORIZON PHARMA USA INC"
"44","ANTHONY BEALE","JOHN DUNN",1000,"HUDSON GROUP",290000,"ANTHONY BEALE/JOHN DUNN/HUDSON GROUP"
"45","ANTHONY BEALE","JOHN DUNN",1000,"LIMEBIKE",78000,"ANTHONY BEALE/JOHN DUNN/LIMEBIKE"
"46","ANTHONY BEALE","JOHN DUNN",1000,"LYFT",529500,"ANTHONY BEALE/JOHN DUNN/LYFT"
"47","ANTHONY BEALE","JOHN DUNN",1000,"MIDWEST BUS & MOTORCOACH ASSOCIATION",60000,"ANTHONY BEALE/JOHN DUNN/MIDWEST BUS & MOTORCOACH ASSOCIATION"
"48","ANTHONY BEALE","JOHN DUNN",1000,"NORTH HIGHLAND",90000,"ANTHONY BEALE/JOHN DUNN/NORTH HIGHLAND"
"49","ANTHONY BEALE","JOHN DUNN",1000,"PEOPLES GAS LIGHT AND COKE CO.",214500,"ANTHONY BEALE/JOHN DUNN/PEOPLES GAS LIGHT AND COKE CO."
"50","ANTHONY BEALE","JOHN DUNN",1000,"PNC BANK",165000,"ANTHONY BEALE/JOHN DUNN/PNC BANK"
"51","ANTHONY BEALE","JOHN DUNN",1000,"SENTINEL TECHNOLOGIES",88800,"ANTHONY BEALE/JOHN DUNN/SENTINEL TECHNOLOGIES"
"52","ANTHONY BEALE","JOHN DUNN",1000,"SONDER",231000,"ANTHONY BEALE/JOHN DUNN/SONDER"
"53","ANTHONY BEALE","JOHN DUNN",1000,"SSP AMERICA INC",330000,"ANTHONY BEALE/JOHN DUNN/SSP AMERICA INC"
"54","ANTHONY BEALE","JOHN DUNN",1000,"THE GORDIAN GROUP INC",115000,"ANTHONY BEALE/JOHN DUNN/THE GORDIAN GROUP INC"
"55","ANTHONY BEALE","JOHN GEORGE",500,"1200 WEST  FULTON MARKET LLC",2000,"ANTHONY BEALE/JOHN GEORGE/1200 WEST  FULTON MARKET LLC"
"56","ANTHONY BEALE","JOHN GEORGE",500,"1200 WEST FULTON MARKET LLC",2500,"ANTHONY BEALE/JOHN GEORGE/1200 WEST FULTON MARKET LLC"
"57","ANTHONY BEALE","JOHN GEORGE",500,"601 W COMPANIES",10000,"ANTHONY BEALE/JOHN GEORGE/601 W COMPANIES"
"58","ANTHONY BEALE","JOHN GEORGE",500,"601 WEST COMPANIES",25000,"ANTHONY BEALE/JOHN GEORGE/601 WEST COMPANIES"
"59","ANTHONY BEALE","JOHN GEORGE",500,"710 WEST FULLERTON LLC",4000,"ANTHONY BEALE/JOHN GEORGE/710 WEST FULLERTON LLC"
"60","ANTHONY BEALE","JOHN GEORGE",500,"ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO",1000,"ANTHONY BEALE/JOHN GEORGE/ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO"
"61","ANTHONY BEALE","JOHN GEORGE",500,"BELGRAVIA GROUP, LTD.",31000,"ANTHONY BEALE/JOHN GEORGE/BELGRAVIA GROUP, LTD."
"62","ANTHONY BEALE","JOHN GEORGE",500,"BUCKSBAUM RETAIL PROPERTIES LLC",500,"ANTHONY BEALE/JOHN GEORGE/BUCKSBAUM RETAIL PROPERTIES LLC"
"63","ANTHONY BEALE","JOHN GEORGE",500,"CARVANA",500,"ANTHONY BEALE/JOHN GEORGE/CARVANA"
"64","ANTHONY BEALE","JOHN GEORGE",500,"CENTRAL STATION DEVELOPMENT CORPORATION",4000,"ANTHONY BEALE/JOHN GEORGE/CENTRAL STATION DEVELOPMENT CORPORATION"
"65","ANTHONY BEALE","JOHN GEORGE",500,"CHICAGO PARK DISTRICT",2000,"ANTHONY BEALE/JOHN GEORGE/CHICAGO PARK DISTRICT"
"66","ANTHONY BEALE","JOHN GEORGE",500,"CITY CLUB APARTMENTS LLC",5000,"ANTHONY BEALE/JOHN GEORGE/CITY CLUB APARTMENTS LLC"
"67","ANTHONY BEALE","JOHN GEORGE",500,"CLARK STREET HOLDINGS LLC",1000,"ANTHONY BEALE/JOHN GEORGE/CLARK STREET HOLDINGS LLC"
"68","ANTHONY BEALE","JOHN GEORGE",500,"COMMONWEALTH EDISON CO",52000,"ANTHONY BEALE/JOHN GEORGE/COMMONWEALTH EDISON CO"
"69","ANTHONY BEALE","JOHN GEORGE",500,"DAVID SHIFRIN, M.D.",2000,"ANTHONY BEALE/JOHN GEORGE/DAVID SHIFRIN, M.D."
"70","ANTHONY BEALE","JOHN GEORGE",500,"DRAKE TOWER APARTMENTS INC",2000,"ANTHONY BEALE/JOHN GEORGE/DRAKE TOWER APARTMENTS INC"
"71","ANTHONY BEALE","JOHN GEORGE",500,"FRIEDMAN PROPERTIES",35000,"ANTHONY BEALE/JOHN GEORGE/FRIEDMAN PROPERTIES"
"72","ANTHONY BEALE","JOHN GEORGE",500,"GEMS AMERICAS",1500,"ANTHONY BEALE/JOHN GEORGE/GEMS AMERICAS"
"73","ANTHONY BEALE","JOHN GEORGE",500,"GIBSONS RESTAURANT GROUP",4500,"ANTHONY BEALE/JOHN GEORGE/GIBSONS RESTAURANT GROUP"
"74","ANTHONY BEALE","JOHN GEORGE",500,"GIORDANO DANCE CHICAGO",12000,"ANTHONY BEALE/JOHN GEORGE/GIORDANO DANCE CHICAGO"
"75","ANTHONY BEALE","JOHN GEORGE",500,"GLENSTAR PROPERTIES LLC",5500,"ANTHONY BEALE/JOHN GEORGE/GLENSTAR PROPERTIES LLC"
"76","ANTHONY BEALE","JOHN GEORGE",500,"GOLDMAN SACHS & CO. LLC",1000,"ANTHONY BEALE/JOHN GEORGE/GOLDMAN SACHS & CO. LLC"
"77","ANTHONY BEALE","JOHN GEORGE",500,"GOLUB & COMPANY LLC",55000,"ANTHONY BEALE/JOHN GEORGE/GOLUB & COMPANY LLC"
"78","ANTHONY BEALE","JOHN GEORGE",500,"HOWARD HUGHES CORP",29000,"ANTHONY BEALE/JOHN GEORGE/HOWARD HUGHES CORP"
"79","ANTHONY BEALE","JOHN GEORGE",500,"HRE CRAWFORD LLC",5000,"ANTHONY BEALE/JOHN GEORGE/HRE CRAWFORD LLC"
"80","ANTHONY BEALE","JOHN GEORGE",500,"JAMES MCHUGH CONSTRUCTION CO.",14500,"ANTHONY BEALE/JOHN GEORGE/JAMES MCHUGH CONSTRUCTION CO."
"81","ANTHONY BEALE","JOHN GEORGE",500,"JK EQUITIES LLC",6000,"ANTHONY BEALE/JOHN GEORGE/JK EQUITIES LLC"
"82","ANTHONY BEALE","JOHN GEORGE",500,"LAKESHORE EAST LLC",30000,"ANTHONY BEALE/JOHN GEORGE/LAKESHORE EAST LLC"
"83","ANTHONY BEALE","JOHN GEORGE",500,"LAMB PARTNERS LLC",3500,"ANTHONY BEALE/JOHN GEORGE/LAMB PARTNERS LLC"
"84","ANTHONY BEALE","JOHN GEORGE",500,"LENA MULTIFAMILY COMMUNITIES LLC",2500,"ANTHONY BEALE/JOHN GEORGE/LENA MULTIFAMILY COMMUNITIES LLC"
"85","ANTHONY BEALE","JOHN GEORGE",500,"LENDLEASE",30500,"ANTHONY BEALE/JOHN GEORGE/LENDLEASE"
"86","ANTHONY BEALE","JOHN GEORGE",500,"LETTUCE ENTERTAIN YOU ENTERPRISES INC",1000,"ANTHONY BEALE/JOHN GEORGE/LETTUCE ENTERTAIN YOU ENTERPRISES INC"
"87","ANTHONY BEALE","JOHN GEORGE",500,"LINCOLN PROPERTY COMPANY",500,"ANTHONY BEALE/JOHN GEORGE/LINCOLN PROPERTY COMPANY"
"88","ANTHONY BEALE","JOHN GEORGE",500,"M & R DEVELOPMENT LLC",9500,"ANTHONY BEALE/JOHN GEORGE/M & R DEVELOPMENT LLC"
"89","ANTHONY BEALE","JOHN GEORGE",500,"MCCAFFERY INTERESTS",1000,"ANTHONY BEALE/JOHN GEORGE/MCCAFFERY INTERESTS"
"90","ANTHONY BEALE","JOHN GEORGE",500,"MIDWEST PROPERTY GROUP",3000,"ANTHONY BEALE/JOHN GEORGE/MIDWEST PROPERTY GROUP"
"91","ANTHONY BEALE","JOHN GEORGE",500,"PROLOGIS L.P.",1000,"ANTHONY BEALE/JOHN GEORGE/PROLOGIS L.P."
"92","ANTHONY BEALE","JOHN GEORGE",500,"RIVERSIDE INVESTMENT AND DEVELOPMENT",55000,"ANTHONY BEALE/JOHN GEORGE/RIVERSIDE INVESTMENT AND DEVELOPMENT"
"93","ANTHONY BEALE","JOHN GEORGE",500,"SHIRLEY RYANAILITY LAB",500,"ANTHONY BEALE/JOHN GEORGE/SHIRLEY RYANAILITY LAB"
"94","ANTHONY BEALE","JOHN GEORGE",500,"STUDY HOTELS LLC",3000,"ANTHONY BEALE/JOHN GEORGE/STUDY HOTELS LLC"
"95","ANTHONY BEALE","JOHN GEORGE",500,"THIRTEEN THIRTY-TWO LLC",500,"ANTHONY BEALE/JOHN GEORGE/THIRTEEN THIRTY-TWO LLC"
"96","ANTHONY BEALE","JOHN GEORGE",500,"THOR EQUITIES LLC",1000,"ANTHONY BEALE/JOHN GEORGE/THOR EQUITIES LLC"
"97","ANTHONY BEALE","JOHN GEORGE",500,"VORNADO REALTY TRUST",1500,"ANTHONY BEALE/JOHN GEORGE/VORNADO REALTY TRUST"
"98","ANTHONY BEALE","JOHN GEORGE",500,"WOOD PARTNERS",4500,"ANTHONY BEALE/JOHN GEORGE/WOOD PARTNERS"
"99","ANTHONY BEALE","LANGDON NEAL",750,"1318 NORTH  CLEAVER LLC",3400,"ANTHONY BEALE/LANGDON NEAL/1318 NORTH  CLEAVER LLC"
"100","ANTHONY BEALE","LANGDON NEAL",750,"1318 NORTH CLEAVER LLC",5475,"ANTHONY BEALE/LANGDON NEAL/1318 NORTH CLEAVER LLC"
"101","ANTHONY BEALE","LANGDON NEAL",750,"931 WEST 19 LLC",43850,"ANTHONY BEALE/LANGDON NEAL/931 WEST 19 LLC"
"102","ANTHONY BEALE","LANGDON NEAL",750,"A-1 CAR WASH DETAILING",6925,"ANTHONY BEALE/LANGDON NEAL/A-1 CAR WASH DETAILING"
"103","ANTHONY BEALE","LANGDON NEAL",750,"ALISA STARKS",9600,"ANTHONY BEALE/LANGDON NEAL/ALISA STARKS"
"104","ANTHONY BEALE","LANGDON NEAL",750,"ASCEND REAL ESTATE GROUP LLC",1100,"ANTHONY BEALE/LANGDON NEAL/ASCEND REAL ESTATE GROUP LLC"
"105","ANTHONY BEALE","LANGDON NEAL",750,"AVRA PROPERTIES",8400,"ANTHONY BEALE/LANGDON NEAL/AVRA PROPERTIES"
"106","ANTHONY BEALE","LANGDON NEAL",750,"BRONZEVILLE ASSOCIATES LIMITED PARTNERSHIP",10000,"ANTHONY BEALE/LANGDON NEAL/BRONZEVILLE ASSOCIATES LIMITED PARTNERSHIP"
"107","ANTHONY BEALE","LANGDON NEAL",750,"CENTURY PLATING COMPANY INC",6000,"ANTHONY BEALE/LANGDON NEAL/CENTURY PLATING COMPANY INC"
"108","ANTHONY BEALE","LANGDON NEAL",750,"CHICAGO BOARD OF EDUCATION",341500,"ANTHONY BEALE/LANGDON NEAL/CHICAGO BOARD OF EDUCATION"
"109","ANTHONY BEALE","LANGDON NEAL",750,"CHICAGO HOUSING AUTHORITY",21250,"ANTHONY BEALE/LANGDON NEAL/CHICAGO HOUSING AUTHORITY"
"110","ANTHONY BEALE","LANGDON NEAL",750,"CHICAGO SOUTHWEST DEVELOPMENT CORPORATION",23000,"ANTHONY BEALE/LANGDON NEAL/CHICAGO SOUTHWEST DEVELOPMENT CORPORATION"
"111","ANTHONY BEALE","LANGDON NEAL",750,"COUNTY OF COOK",10500,"ANTHONY BEALE/LANGDON NEAL/COUNTY OF COOK"
"112","ANTHONY BEALE","LANGDON NEAL",750,"CRYSTAL PROPERTIES LLC",375,"ANTHONY BEALE/LANGDON NEAL/CRYSTAL PROPERTIES LLC"
"113","ANTHONY BEALE","LANGDON NEAL",750,"FARPOINT DEVELOPMENT LLC",10500,"ANTHONY BEALE/LANGDON NEAL/FARPOINT DEVELOPMENT LLC"
"114","ANTHONY BEALE","LANGDON NEAL",750,"FRANKLIN PARTNERS",12000,"ANTHONY BEALE/LANGDON NEAL/FRANKLIN PARTNERS"
"115","ANTHONY BEALE","LANGDON NEAL",750,"GALACTICA PARTNERS LLC",14100,"ANTHONY BEALE/LANGDON NEAL/GALACTICA PARTNERS LLC"
"116","ANTHONY BEALE","LANGDON NEAL",750,"HOUSTON 7979 PARKING LLC",39900,"ANTHONY BEALE/LANGDON NEAL/HOUSTON 7979 PARKING LLC"
"117","ANTHONY BEALE","LANGDON NEAL",750,"M.E. OLSON CONSTRUCTION INC",11300,"ANTHONY BEALE/LANGDON NEAL/M.E. OLSON CONSTRUCTION INC"
"118","ANTHONY BEALE","LANGDON NEAL",750,"NATIONAL RAILROAD PASSENGER CORP. (AMTRAK)",25500,"ANTHONY BEALE/LANGDON NEAL/NATIONAL RAILROAD PASSENGER CORP. (AMTRAK)"
"119","ANTHONY BEALE","LANGDON NEAL",750,"NATIONAL RAILROAD PASSENGER CORPORATION (AMTRAK)",39500,"ANTHONY BEALE/LANGDON NEAL/NATIONAL RAILROAD PASSENGER CORPORATION (AMTRAK)"
"120","ANTHONY BEALE","LANGDON NEAL",750,"NEW CASTLE PROPERTIES",350,"ANTHONY BEALE/LANGDON NEAL/NEW CASTLE PROPERTIES"
"121","ANTHONY BEALE","LANGDON NEAL",750,"NORTHWESTERN MEMORIAL HOSPITAL",15250,"ANTHONY BEALE/LANGDON NEAL/NORTHWESTERN MEMORIAL HOSPITAL"
"122","ANTHONY BEALE","LANGDON NEAL",750,"OGDEN COMMONS JV LLC",45197.4,"ANTHONY BEALE/LANGDON NEAL/OGDEN COMMONS JV LLC"
"123","ANTHONY BEALE","LANGDON NEAL",750,"PEOPLE READY INC",2500,"ANTHONY BEALE/LANGDON NEAL/PEOPLE READY INC"
"124","ANTHONY BEALE","LANGDON NEAL",750,"PINALE ENTERPRISES LLC",46500,"ANTHONY BEALE/LANGDON NEAL/PINALE ENTERPRISES LLC"
"125","ANTHONY BEALE","LANGDON NEAL",750,"PUBLIC BUILDING COMMISSION OF CHICAGO",258700,"ANTHONY BEALE/LANGDON NEAL/PUBLIC BUILDING COMMISSION OF CHICAGO"
"126","ANTHONY BEALE","LANGDON NEAL",750,"RIVER BEND REAL ESTATE INVESTMENTS LLC",5100,"ANTHONY BEALE/LANGDON NEAL/RIVER BEND REAL ESTATE INVESTMENTS LLC"
"127","ANTHONY BEALE","LANGDON NEAL",750,"RUSH UNIVERSITY MEDICAL CENTER",99000,"ANTHONY BEALE/LANGDON NEAL/RUSH UNIVERSITY MEDICAL CENTER"
"128","ANTHONY BEALE","LANGDON NEAL",750,"TERRACO INC",250,"ANTHONY BEALE/LANGDON NEAL/TERRACO INC"
"129","ANTHONY BEALE","LANGDON NEAL",750,"TERRY PERDUE",500,"ANTHONY BEALE/LANGDON NEAL/TERRY PERDUE"
"130","ANTHONY BEALE","LANGDON NEAL",750,"THE BARACK OBAMA FOUNDATION",278000,"ANTHONY BEALE/LANGDON NEAL/THE BARACK OBAMA FOUNDATION"
"131","ANTHONY BEALE","LANGDON NEAL",750,"THE JOHN BUCK COMPANY",12750,"ANTHONY BEALE/LANGDON NEAL/THE JOHN BUCK COMPANY"
"132","ANTHONY BEALE","LANGDON NEAL",750,"TRIBUNE COMPANY",186500,"ANTHONY BEALE/LANGDON NEAL/TRIBUNE COMPANY"
"133","ANTHONY BEALE","LANGDON NEAL",750,"WEXFORD SCIENCE & TECHNOLOGY LLC",30000,"ANTHONY BEALE/LANGDON NEAL/WEXFORD SCIENCE & TECHNOLOGY LLC"
"134","ANTHONY BEALE","LANGDON NEAL",750,"XSC 633 SOUTH  LASALLE ACQUISITION LLC",650,"ANTHONY BEALE/LANGDON NEAL/XSC 633 SOUTH  LASALLE ACQUISITION LLC"
"135","ANTHONY BEALE","LANGDON NEAL",750,"XSC 633 SOUTH LASALLE ACQUISITION LLC",1300,"ANTHONY BEALE/LANGDON NEAL/XSC 633 SOUTH LASALLE ACQUISITION LLC"
"136","ANTHONY BEALE","LUCI ANDERSON",1500,"BAGS INC",400,"ANTHONY BEALE/LUCI ANDERSON/BAGS INC"
"137","ANTHONY BEALE","LUIS ANDRADE",500,"ILLINOIS HOSPITAL ASSOCIATION",10000,"ANTHONY BEALE/LUIS ANDRADE/ILLINOIS HOSPITAL ASSOCIATION"
"138","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"A & R JANITORIAL SERVICE INC",2000,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/A & R JANITORIAL SERVICE INC"
"139","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"ASSOCIATION OF SUBCONTRACTORS",42650,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/ASSOCIATION OF SUBCONTRACTORS"
"140","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"BUILDING OWNERS AND MANAGERS ASSOCIATION OF CHICAGO",65900,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/BUILDING OWNERS AND MANAGERS ASSOCIATION OF CHICAGO"
"141","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"CHICAGOLAND APARTMENT ASSOCIATION",56850,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/CHICAGOLAND APARTMENT ASSOCIATION"
"142","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"HELLMUTH, OBATA & KASSABAUM",26250,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/HELLMUTH, OBATA & KASSABAUM"
"143","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"ILLINOIS BANKERS ASSOCIATION",17150,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/ILLINOIS BANKERS ASSOCIATION"
"144","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"ILLINOIS RESTAURANT ASSOCIATION",18850,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/ILLINOIS RESTAURANT ASSOCIATION"
"145","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"OUTFRONT MEDIA",18075,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/OUTFRONT MEDIA"
"146","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"UNITED AIRLINES",40000,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/UNITED AIRLINES"
"147","ANTHONY BEALE","MARY MINAGHAN DBA MKM SERVICES",200,"WOMEN CONSTRUCTION OWNERS",27150,"ANTHONY BEALE/MARY MINAGHAN DBA MKM SERVICES/WOMEN CONSTRUCTION OWNERS"
"148","ANTHONY BEALE","MICHAEL KASPER",500,"ACADEMY FOR URBAN SCHOOL LEADERSHIP",48000,"ANTHONY BEALE/MICHAEL KASPER/ACADEMY FOR URBAN SCHOOL LEADERSHIP"
"149","ANTHONY BEALE","MICHAEL KASPER",500,"AIRBNB",240000,"ANTHONY BEALE/MICHAEL KASPER/AIRBNB"
"150","ANTHONY BEALE","MICHAEL KASPER",500,"AMERICAN BEVERAGE ASSOCIATION",480000,"ANTHONY BEALE/MICHAEL KASPER/AMERICAN BEVERAGE ASSOCIATION"
"151","ANTHONY BEALE","MICHAEL KASPER",500,"ANDELL INC",2e+05,"ANTHONY BEALE/MICHAEL KASPER/ANDELL INC"
"152","ANTHONY BEALE","MICHAEL KASPER",500,"CHICAGO FIRE SOCCER HOLDINGS LLC",24000,"ANTHONY BEALE/MICHAEL KASPER/CHICAGO FIRE SOCCER HOLDINGS LLC"
"153","ANTHONY BEALE","MICHAEL KASPER",500,"CITIGROUP GLOBAL MARKETS INC",175500,"ANTHONY BEALE/MICHAEL KASPER/CITIGROUP GLOBAL MARKETS INC"
"154","ANTHONY BEALE","MICHAEL KASPER",500,"DCI GROUP AZ LLC",108000,"ANTHONY BEALE/MICHAEL KASPER/DCI GROUP AZ LLC"
"155","ANTHONY BEALE","MICHAEL KASPER",500,"DELAWARE NORTH COMPANIES",320016,"ANTHONY BEALE/MICHAEL KASPER/DELAWARE NORTH COMPANIES"
"156","ANTHONY BEALE","MICHAEL KASPER",500,"DOMINION VOTING SYSTEMS INC",240000,"ANTHONY BEALE/MICHAEL KASPER/DOMINION VOTING SYSTEMS INC"
"157","ANTHONY BEALE","MICHAEL KASPER",500,"FAMILY GUIDANCE CENTERS INC",15000,"ANTHONY BEALE/MICHAEL KASPER/FAMILY GUIDANCE CENTERS INC"
